movieId,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,title,year,genre_count,avg_rating,rating_count
1,Adventure,Animation,Children,Comedy,Fantasy,,,,,,Toy Story (1995),1995,5,3.893707794587238,57309
100032,Documentary,,,,,,,,,,Beauty Is Embarrassing (2012),2012,1,3.7222222222222223,18
100034,Documentary,,,,,,,,,,Girl Model (2011),2011,1,3.0833333333333335,36
100036,Documentary,Musical,,,,,,,,,Crossfire Hurricane (2012),2012,2,3.4411764705882355,17
100038,Drama,Romance,,,,,,,,,Middle of Nowhere (2012),2012,2,3.423076923076923,13
100044,Documentary,,,,,,,,,,Human Planet (2011),2011,1,4.1871165644171775,326
100052,Drama,,,,,,,,,,Red Hook Summer (2012),2012,1,2.1363636363636362,11
100056,Thriller,,,,,,,,,,Die (2010),2010,1,2.727272727272727,11
100077,Crime,Drama,Romance,,,,,,,,Made in Hong Kong (Xiang Gang zhi zao) (1997),1997,3,3.1,5
100079,Drama,Horror,Mystery,,,,,,,,Creature from Black Lake (1976),1976,3,2.3333333333333335,3
100101,Drama,,,,,,,,,,Jean Gentil (2010),2010,1,4.0,3
100145,Documentary,,,,,,,,,,Palms (Ladoni) (1994),1994,1,3.8333333333333335,3
100163,Action,Fantasy,Horror,IMAX,,,,,,,Hansel & Gretel: Witch Hunters (2013),2013,4,2.961926961926962,1287
100167,Documentary,,,,,,,,,,Murder by Proxy: How America Went Postal (2010),2010,1,3.125,4
100196,Documentary,Musical,,,,,,,,,Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007),2007,2,3.8194444444444446,36
100210,Documentary,Western,,,,,,,,,"Wild Horse, Wild Ride (2011)",2011,2,3.8214285714285716,14
100229,Horror,Mystery,,,,,,,,,"Psychopath, The (1966)",1966,2,3.3,5
100251,Horror,,,,,,,,,,"House of Seven Corpses, The (1974)",1974,1,2.7142857142857144,7
100272,Drama,,,,,,,,,,Snow White (Blancanieves) (2012),2012,1,3.858974358974359,78
100302,Drama,Romance,Sci-Fi,,,,,,,,Upside Down (2012),2012,3,3.288431061806656,631
100308,Drama,,,,,,,,,,Pressure Point (1962),1962,1,3.5,11
100326,Comedy,Crime,,,,,,,,,Stand Up Guys (2012),2012,2,3.1014150943396226,212
100330,Drama,,,,,,,,,,Kukuli (1961),1961,1,3.5,2
100336,Drama,,,,,,,,,,Udaan (2010),2010,1,3.6153846153846154,52
100344,Drama,,,,,,,,,,No (2012),2012,1,3.6911764705882355,204
100361,Documentary,,,,,,,,,,"Adonis Factor, The (2010)",2010,1,2.8,5
100365,Documentary,,,,,,,,,,Call Me Kuchu (2012),2012,1,3.6666666666666665,9
100383,Crime,Drama,Mystery,Thriller,,,,,,,Side Effects (2013),2013,4,3.527620841180163,1593
100390,Comedy,Crime,,,,,,,,,Identity Thief (2013),2013,2,2.9202185792349726,915
100395,Drama,,,,,,,,,,Shadow People  (2007),2007,1,2.5,4
100406,Documentary,,,,,,,,,,Perkele! Kuvia Suomesta (1971),1971,1,3.35,10
100411,Drama,,,,,,,,,,"Foreigner, The (1978)",1978,1,2.5,1
