movieId,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,title,year,genre_count,avg_rating,rating_count
100,Drama,Thriller,,,,,,,,,City Hall (1996),1996,2,3.2212201591511938,3770
1000,Crime,,,,,,,,,,Curdled (1996),1996,1,3.116915422885572,201
100003,Comedy,,,,,,,,,,Up in Smoke (1957),1957,1,3.6666666666666665,3
100015,Crime,Drama,Thriller,,,,,,,,Chicago Massacre: Richard Speck (2007),2007,3,2.1666666666666665,3
100042,War,Western,,,,,,,,,"Guns of Fort Petticoat, The (1957)",1957,2,3.375,4
100046,Documentary,,,,,,,,,,Madagascar (2011),2011,1,3.7857142857142856,28
100058,Comedy,,,,,,,,,,Patrice O'Neal: Elephant in the Room (2011),2011,1,3.0208333333333335,24
100072,Documentary,,,,,,,,,,Metsän tarina (2012),2012,1,3.25,6
100075,Crime,Drama,Horror,,,,,,,,Choose (2010),2010,3,2.735294117647059,17
100081,Comedy,,,,,,,,,,Bad Luck (Zezowate szczescie) (1960),1960,1,3.0714285714285716,7
100099,Documentary,,,,,,,,,,Pictures of the Old World (Obrazy starého sveta) (1972),1972,1,4.2,5
100143,Drama,,,,,,,,,,"End of Love, The (2012)",2012,1,3.227272727272727,11
100150,Comedy,Romance,,,,,,,,,"Color Wheel, The (2011)",2011,2,3.2,25
100169,Documentary,,,,,,,,,,After Porn Ends (2010),2010,1,2.9647058823529413,85
100173,Sci-Fi,,,,,,,,,,Stonehenge Apocalypse (2010),2010,1,2.1,10
100180,Comedy,,,,,,,,,,"Last Godfather, The (2010)",2010,1,1.4,5
100183,Documentary,,,,,,,,,,Portrait of Wally (2012),2012,1,4.0,2
100185,Drama,,,,,,,,,,Starlet (2012),2012,1,3.5821917808219177,73
100194,Comedy,,,,,,,,,,Jim Jefferies: Fully Functional (EPIX) (2012),2012,1,3.753846153846154,65
100198,Drama,Romance,Sci-Fi,,,,,,,,"Ah of Life, The (2010)",2010,3,1.0,3
100203,Comedy,Drama,Romance,,,,,,,,Sundome (2007),2007,3,2.5,1
100205,Action,Adventure,Horror,,,,,,,,Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan) (1972),1972,3,2.880952380952381,21
100248,Comedy,Horror,Romance,,,,,,,,Lo (2009),2009,3,3.269230769230769,13
100253,Comedy,Drama,,,,,,,,,Karlsson Brothers (Bröderna Karlsson) (2010),2010,2,3.5,2
100264,Drama,,,,,,,,,,Paziraie Sadeh (2012),2012,1,3.2777777777777777,9
100275,Drama,,,,,,,,,,Return (2011),2011,1,2.75,8
100291,Documentary,Drama,,,,,,,,,Ballplayer: Pelotero (2011),2011,2,3.4,5
100315,Comedy,Drama,Romance,,,,,,,,2 Become 1 (Tin sun yut dui) (2006),2006,3,3.0,1
100324,Drama,,,,,,,,,,LUV (2012),2012,1,3.0,5
100338,Documentary,,,,,,,,,,"Life Apart: Hasidism in America, A (1997)",1997,1,3.5,2
100368,Drama,Film-Noir,,,,,,,,,No Man of Her Own (1950),1950,2,3.6363636363636362,11
100370,Drama,,,,,,,,,,Prinsessa (Starring Maja) (2009),2009,1,3.25,2
100387,Drama,Romance,,,,,,,,,Kadal (2013),2013,2,2.9166666666666665,6
100397,Horror,,,,,,,,,,"ABCs of Death, The (2012)",2012,1,2.6870503597122304,139
100423,Horror,Sci-Fi,,,,,,,,,"Rage, The (2007)",2007,2,2.6875,8
100438,Comedy,,,,,,,,,,"Glimpse Inside the Mind of Charles Swan III, A (2012)",2012,1,2.25,26
100442,Comedy,Crime,Drama,,,,,,,,Drogówka (2013),2013,3,3.1666666666666665,24
100444,Comedy,,,,,,,,,,"Rumble in the Air-Conditioned Auditorium: O'Reilly vs. Stewart 2012, The (2012)",2012,1,3.3181818181818183,22
100469,Action,Adventure,IMAX,,,,,,,,Chinese Zodiac (Armour of God III) (CZ12) (2012),2012,3,2.7393162393162394,117
100507,Comedy,,,,,,,,,,21 and Over (2013),2013,1,3.0394321766561516,317
100513,Documentary,,,,,,,,,,Mothlight (1963),1963,1,2.88,25
100556,Documentary,,,,,,,,,,"Act of Killing, The (2012)",2012,1,3.9938775510204083,735
100579,Action,Sci-Fi,Thriller,,,,,,,,Universal Soldier: Day of Reckoning (2012),2012,3,2.623762376237624,101
100583,Documentary,,,,,,,,,,Arnulf Rainer (1960),1960,1,1.8636363636363635,11
100588,Comedy,,,,,,,,,,Amazing Johnathan: Wrong on Every Level (2006),2006,1,3.3333333333333335,6
100642,Comedy,Drama,Romance,,,,,,,,Sunday Lovers (1980),1980,3,3.5,1
1007,Children,Comedy,Western,,,,,,,,"Apple Dumpling Gang, The (1975)",1975,3,2.965721040189125,1692
100719,Documentary,,,,,,,,,,Fake It So Real (2012),2012,1,3.4,5
100737,Action,Drama,Thriller,,,,,,,,Snitch (2013),2013,3,3.066901408450704,284
100799,Documentary,,,,,,,,,,Living in Emergency: Stories of Doctors Without Borders (2008),2008,1,4.214285714285714,7
100838,Documentary,,,,,,,,,,I Am Jesus (2011),2011,1,2.5,2
100843,Comedy,Drama,,,,,,,,,Oh Boy (A Coffee in Berlin) (2012),2012,2,3.7052023121387285,173
100882,Adventure,Comedy,Fantasy,Romance,IMAX,,,,,,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),2013,5,3.6435643564356437,101
100948,Documentary,,,,,,,,,,"Act of Seeing with One's Own Eyes, The (1971)",1971,1,2.925,20
101006,Documentary,,,,,,,,,,"Aral, Fishing in an Invisible Sea (2004)",2004,1,2.5,1
101062,Documentary,,,,,,,,,,Lenny Bruce: Swear to Tell the Truth (1998),1998,1,3.5714285714285716,7
101068,Drama,,,,,,,,,,"Solitude of Prime Numbers, The (2010)",2010,1,3.1785714285714284,14
101074,Animation,Comedy,Horror,Musical,,,,,,,"Legend of Sleepy Hollow, The (1949)",1949,4,3.5546218487394956,119
101088,Drama,Mystery,Thriller,,,,,,,,Stoker (2013),2013,3,3.417407878017789,787
101106,Documentary,,,,,,,,,,Sound City (2013),2013,1,3.75531914893617,188
101133,Documentary,,,,,,,,,,Fog City Mavericks (2007),2007,1,3.5,2
101160,Documentary,,,,,,,,,,Sons of Perdition (2010),2010,1,3.75,6
101180,Action,Adventure,Fantasy,,,,,,,,Age of the Dragons (2011),2011,3,2.676470588235294,17
101204,Drama,,,,,,,,,,"Hucksters, The (1947)",1947,1,3.8333333333333335,3
101218,Documentary,,,,,,,,,,Leviathan (2012),2012,1,3.403225806451613,31
101222,Thriller,,,,,,,,,,Elevator (2011),2011,1,2.772727272727273,22
101226,Crime,Mystery,,,,,,,,,Accomplices (Complices) (2009),2009,2,3.375,4
101235,Drama,,,,,,,,,,"Great Gatsby, The (1949)",1949,1,3.3529411764705883,17
